Part\#,PartType,MPN,SKU,FarnellLink,DigiKeyLink,MouserLink,InternalName,Value,Footprint,Found in: 
R25,R,RR0816P-184-D,,,,,,180k,Resistors_SMD:R_0603,nestbox_power.sch
R26,SMD-RES-10K-1%-1_10W_0603_,RC0603FR-0710KL,301010299,,,,,SMD-RES-10K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_lora.sch
R27,DIP-RES-47K-5%-1_4W_PR-D2.3XL6.5MM_,FHCFR-1_4W-473J,,,,,,47K,SeeedOPL-Resistor-2016:R0603,Nestbox_v1.sch
R28,R,,,,,,,R_OPTO,Resistors_SMD:R_0603,Nestbox_v1.sch
R29,R,,,,,,,DNP,Resistors_SMD:R_0603,Nestbox_v1.sch
R30,SMD-RES-10K-1%-1_10W_0603_,RC0603FR-0710KL,301010299,,,,,SMD-RES-10K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,Nestbox_v1.sch
RV1,POT-RESCUE-Nestbox_v1,3313J-1-201E,,,,,,POT,pot:3223G,Nestbox_v1.sch
RV2,POT-RESCUE-Nestbox_v1,3313J-1-201E,,,,,,POT,pot:3223G,Nestbox_v1.sch
SW1,SMD-BUTTON_2P-3.0X2.5X1.2+0.4MM_,B3U-1000P-B,311020047,,,,,SMD-BUTTON_2P-3.0X2.5X1.2+0.4MM_,SeeedOPL-Switch-2016:SW2-2.6-3.0X2.5X1.2+0.4MM,Nestbox_v1.sch
U1,MSP430FR5969,MSP430FR5969IRGZR,,,,,,MSP430FR5969,chips:S-PVQFN-N48,Nestbox_v1.sch
U2,CR95HF,ST95HF-VMD5T,,,,,,ST95HF,Octanis3:VFQFPN32,nestbox_Reader_IC.sch
U3,TPS630250RNC,TPS630250RNCT,,,,,,TPS630250RNC,Octanis3:RNC0014A,nestbox_power.sch
U4,RN2483,RN2483-I/RM101,,,,,,RN2483,Octanis3:RN2483,nestbox_lora.sch
Y1,Crystal,FC-12M 32.7680KA-A3,,,,,,Crystal,SeeedOPL-Crystal Oscillator-2016:X2-SMD-L2.0X1.2X0.55MM,Nestbox_v1.sch
Y2,Crystal_4pin,ABM11-142-27.120MHz-T3,,,,,,ABM11-142-27.120MHz,Octanis3:Crystal_ABM11-142,nestbox_Reader_IC.sch
ant1,NFC_antenna,,,,,,,NFC_antenna,Octanis3:NFC_ANTENNA_CIRC,nestbox_Reader_IC.sch
